n	A	B	C	phi
1	-0.2026	0.3183	0.3773	147.51
2	0	-0.1595	01591	180
3 -0.0225	0.1061	0.1084	168.02
4	0	-0.7957	0.0795	180
5	-0.0081	0.0636	0.0641	172.74
6	0	-0.0530	0.0530	180
7	-0.0041	0.0455	0.0456	175.95
8	0	-0.0397	0.0345	175.95
9	-0.0250	0.0353	0.0354	180
10	0	-0.0318		0.0318	176.68
11	-0.0016	0.0289	0.0289	176.69
21	-0.0004	0.0151	0.0152	178.26
31	-0.0002	0.0102	0.0102	178.82
41	-0.0001	0.0077	0.0078	179.11
51	-7.7909	0.0062	0.0062	179.28
61	-5.4459	0.0052	0.0052	179.40
71	-4.0198	0.0044	0.0045	179.49
81	-3.0885	0.0039	0.0039	179.53
91	-2.4470	0.0035	0.0035	179.60
99	-2.0675	0.0032	0.0032	179.63